frame,time_sec,timestamp,event
14,0.93,0:00:00,APPROACHING
2793,186.2,0:03:06,EMPTY
2844,189.6,0:03:09,APPROACHING
2973,198.2,0:03:18,EMPTY
3000,200.0,0:03:20,APPROACHING
3033,202.2,0:03:22,EMPTY
3057,203.8,0:03:23,APPROACHING
3339,222.6,0:03:42,EMPTY
4677,311.8,0:05:11,APPROACHING
4698,313.2,0:05:13,EMPTY
5930,395.33,0:06:35,APPROACHING
6302,420.13,0:07:00,EMPTY
6993,466.2,0:07:46,APPROACHING
7019,467.93,0:07:47,EMPTY
8677,578.47,0:09:38,APPROACHING
8766,584.4,0:09:44,EMPTY
8943,596.2,0:09:56,APPROACHING
9010,600.67,0:10:00,EMPTY
